 
# QPROP Version 1.22
# 
# Propeller_3327                                                                  
# 
# Dummy motor for RPM-fixed runs                                                  
#   0.10000      R  (Ohms)                      
#   0.10000      Io (Amps)                      
#    750.00      Kv (rpm/Volt)                  
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17800E-04 kg/m-s
#   a   =  340.00     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   4000.      0.000  0.5886E-01  0.2962E-02   1.241       5.367    0.3326   0.6950   0.0000   0.00000  0.5814E-02  0.3953E-02   2.3636   0.0000   1.785       0.000       0.0538  0.4481E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0059  0.0068  24.244   0.9981  0.06066     1072  0.007   0.0000   0.8422  0.8190       20.80      0.3024E-01
   0.0087  0.0101  22.778   0.8482  0.06132     2378  0.010   0.0000   0.8083   1.136       19.36      0.4117E-01
   0.0115  0.0132  21.374   0.7238  0.05970     4139  0.013   0.0000   0.7748   1.398       17.83      0.4977E-01
   0.0142  0.0160  20.031   0.6144  0.05780     6308  0.017   0.0000   0.7356   1.605       16.29      0.5618E-01
   0.0170  0.0186  18.750   0.5162  0.05604     8832  0.020   0.0000   0.6879   1.755       14.75      0.6053E-01
   0.0198  0.0210  17.529   0.4279  0.05450    11657  0.024   0.0000   0.6294   1.849       13.24      0.6294E-01
   0.0226  0.0231  16.371   0.3487  0.05321    14725  0.027   0.0000   0.5588   1.887       11.77      0.6353E-01
   0.0253  0.0250  15.273   0.2784  0.05218    17974  0.031   0.0000   0.4762   1.873       10.33      0.6243E-01
   0.0281  0.0266  14.237   0.2169  0.05142    21344  0.034   0.0000   0.3841   1.810       8.944      0.5983E-01
   0.0309  0.0280  13.262   0.1642  0.05092    24771  0.038   0.0000   0.2890   1.703       7.624      0.5591E-01
   0.0337  0.0292  12.349   0.1204  0.05068    28193  0.041   0.0000   0.2001   1.560       6.385      0.5094E-01
   0.0365  0.0301  11.497   0.0851  0.05067    31545  0.045   0.0000   0.1263   1.391       5.244      0.4524E-01
   0.0393  0.0308  10.706   0.0582  0.05084    34768  0.048   0.0000   0.0729   1.208       4.226      0.3920E-01
   0.0420  0.0313   9.977   0.0386  0.05111    37799  0.052   0.0000   0.0392   1.028       3.354      0.3329E-01
   0.0448  0.0314   9.309   0.0255  0.05132    40582  0.055   0.0000   0.0204  0.8667       2.649      0.2802E-01
   0.0476  0.0314   8.702   0.0175  0.05132    43059  0.059   0.0000   0.0111  0.7393       2.127      0.2388E-01
   0.0504  0.0311   8.157   0.0132  0.05094    45173  0.062   0.0000   0.0071  0.6587       1.790      0.2127E-01
   0.0531  0.0306   7.673   0.0117  0.05005    46868  0.065   0.0000   0.0058  0.6321       1.628      0.2041E-01
   0.0559  0.0298   7.251   0.0125  0.04859    48088  0.069   0.0000   0.0064  0.6609       1.617      0.2134E-01
   0.0587  0.0288   6.889   0.0155  0.04657    48775  0.072   0.0000   0.0091  0.7414       1.728      0.2394E-01
   0.0615  0.0276   6.590   0.0212  0.04404    48872  0.076   0.0000   0.0149  0.8673       1.931      0.2801E-01
   0.0643  0.0261   6.351   0.0303  0.04108    48320  0.079   0.0000   0.0261   1.031       2.196      0.3331E-01
   0.0670  0.0244   6.174   0.0433  0.03772    47063  0.083   0.0000   0.0460   1.227       2.506      0.3966E-01
   0.0698  0.0224   6.058   0.0585  0.03387    45043  0.086   0.0000   0.0774   1.462       2.869      0.4729E-01
   0.0726  0.0202   6.004   0.0611  0.02923    42197  0.089   0.0000   0.1071   1.797       3.394      0.5819E-01
