config_id,radius,ring height,ring thickness,blade count,inner thickness,inner max pos,inner camber,inner chord,inner angle,mid radial pos,mid chord,mid angle,outer thickness,outer max pos,outer camber,outer chord,outer angle,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg,naca_hub,naca_inner,naca_mid,naca_outer,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s,inner_solidity,mid_radius_mm,mid_solidity,mid_thickness,inner_abs_thickness_mm,mid_abs_thickness_mm,outer_abs_thickness_mm,min_blade_abs_thickness_mm,max_section_solidity
2831,78,4.0,2.0,5,20,5,5,6,21,0.7,13,10,12,5,3,12,4,0.000633,0.003692,0.002386,0.006712,5519,5520,3514,3512,True,0.0,4000.0,0.0,0.1787,0.003046,1.276,0.0143,0.003125,0.27358,0.66902,0.1841,0.04251,True,True,4000.0,0.006712,2.3e-05,0.001194,0.1787,1.275905,0.003046,2.713965,14.683043,6.610332,2.030553,6.817642,-7.151014,1290.871161,,0.578745,54.6,0.18947,14.4,1.2,1.872,1.44,1.2,0.578745
2873,67,4.0,2.0,6,22,5,8,6,19,0.6,25,11,19,4,1,18,3,0.000633,0.016644,0.00205,0.019328,8522,8522,4420,1419,True,0.0,4000.0,0.0,0.1811,0.00143,0.599,0.02662,0.003137,0.69218,1.24222,0.1469,0.005633,True,False,4000.0,0.019328,3.8e-05,0.001056,0.1811,0.598997,0.00143,0.955142,0.0,0.0,0.0,0.0,0.0,4000.0,,0.694494,40.2,0.593862,20.2,1.32,5.05,3.42,1.32,0.694494
2921,64,4.0,2.0,5,22,5,2,5,21,0.4,23,14,22,6,8,18,4,0.000633,0.015533,0.001958,0.018125,2522,2522,4522,8622,True,0.0,4000.0,0.0,0.6102,0.01097,4.595,0.1077,0.03026,0.58423,1.1091,0.8017,0.06856,True,True,4000.0,0.018125,3.2e-05,0.001018,0.6102,4.595103,0.01097,3.431856,12.231303,4.568684,1.052552,7.464989,-11.085339,851.044184,,0.482288,25.6,0.714954,22.0,1.1,5.06,3.96,1.1,0.714954
3007,63,4.0,2.0,5,22,5,3,5,22,0.4,14,13,11,4,4,13,5,0.000633,0.004335,0.001928,0.006896,3521,3522,3519,4411,True,0.0,4000.0,0.0,0.03668,0.00148,0.62,0.006897,0.004417,0.06483,0.2562,0.066,0.05148,True,False,4000.0,0.006896,1.4e-05,0.001006,0.03668,0.619941,0.00148,0.542194,0.0,0.0,0.0,0.0,0.0,4000.0,,0.482288,25.2,0.442097,17.6,1.1,2.464,1.43,1.1,0.482288
3010,74,5.0,2.5,5,18,6,2,6,17,0.6,29,14,13,5,1,21,9,0.000633,0.015291,0.003538,0.019462,2618,2618,1515,1513,True,0.0,4000.0,0.0,0.4136,0.004841,2.028,0.04085,0.006461,0.63887,1.17758,0.2268,0.01413,True,True,4000.0,0.019462,5.1e-05,0.001376,0.4136,2.027793,0.004841,2.166302,18.03649,7.116384,2.067197,6.891911,-10.169054,1526.641671,,0.578745,44.4,0.519763,15.0,1.08,4.35,2.73,1.08,0.578745
3070,67,4.0,2.0,6,22,3,7,5,25,0.4,20,11,19,8,8,15,6,0.000633,0.013321,0.00205,0.016004,7322,7322,7421,8819,True,0.0,4000.0,0.0,0.9488,0.02154,9.024,0.1395,0.04726,0.55097,1.0672,1.0812,0.1158,True,True,4000.0,0.016004,3.2e-05,0.001056,0.9488,9.022654,0.02154,6.043213,15.162156,4.569252,0.90012,10.37232,-11.838222,478.318778,,0.578745,26.8,0.712634,20.8,1.1,4.16,2.85,1.1,0.712634
3154,74,5.0,2.5,5,21,4,7,7,19,0.4,26,10,14,5,8,17,8,0.000633,0.016531,0.003538,0.020702,7421,7421,7419,8514,True,0.0,4000.0,0.0,0.1015,0.004915,2.059,0.01003,0.006561,0.0765,0.28619,0.0652,0.04942,True,False,4000.0,0.020702,5.3e-05,0.001376,0.1015,2.05879,0.004915,0.499781,0.0,0.0,0.0,0.0,0.0,4000.0,,0.675203,29.6,0.698991,18.2,1.47,4.732,2.38,1.47,0.698991
3237,67,4.0,2.0,5,21,5,3,6,25,0.3,13,15,17,3,2,12,6,0.000633,0.005665,0.00205,0.008348,3521,3521,3520,2317,True,0.0,4000.0,0.0,0.1773,0.001244,0.521,0.02606,0.002729,0.77089,1.33446,0.2556,0.00646,True,True,4000.0,0.008348,1.9e-05,0.001056,0.1773,0.521086,0.001244,2.165,21.590093,9.08184,2.986849,7.008306,-7.950107,1646.656353,,0.578745,20.1,0.51468,19.8,1.26,2.574,2.04,1.26,0.578745
3280,73,5.0,2.5,4,17,4,4,7,23,0.5,19,14,10,7,6,14,13,0.000633,0.004991,0.00349,0.009114,4417,4417,5514,6710,True,0.0,4000.0,0.0,0.4531,0.005701,2.388,0.04726,0.008145,0.63063,1.16744,0.4984,0.03051,True,True,4000.0,0.009114,2.9e-05,0.001361,0.4531,2.388029,0.005701,5.067827,29.219904,8.869156,2.620769,12.605373,-8.511976,766.170717,,0.540162,36.5,0.331391,13.5,1.19,2.565,1.4,1.19,0.540162
3447,76,4.0,2.0,5,24,6,4,5,21,0.5,15,9,23,7,7,13,7,0.000633,0.007736,0.002325,0.010695,4624,4624,5624,7723,True,0.0,4000.0,0.0,0.7668,0.009826,4.116,0.06808,0.01148,0.77371,1.3378,0.7682,0.01323,True,True,4000.0,0.010695,3e-05,0.001169,0.7668,4.115905,0.009826,7.30876,33.988317,8.358895,2.176941,16.467313,-10.288671,532.918295,,0.482288,38.0,0.314122,23.5,1.2,3.525,2.99,1.2,0.482288
3548,67,4.0,2.0,5,20,8,5,7,19,0.4,14,15,17,6,6,10,9,0.000633,0.004765,0.00205,0.007448,5820,5820,5719,6617,True,0.0,4000.0,0.0,0.07556,0.002696,1.129,0.01111,0.005913,0.09897,0.33976,0.1234,0.07527,True,True,4000.0,0.007448,1.7e-05,0.001056,0.07556,1.129298,0.002696,1.034172,0.000466,0.138664,0.045604,0.007586,-0.022381,3804.191065,,0.675203,26.8,0.415703,18.8,1.4,2.632,1.7,1.4,0.675203
