config_id,geometry_ok,stl_path,volume_mm3,volume_cm3,volume_m3,n_vertices,n_triangles,selected_output_name,error_message,step_ok,step_path,step_error
56,False,stl\prop_56.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_56.step,
57,False,stl\prop_57.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_57.step,
58,False,stl\prop_58.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_58.step,
59,False,stl\prop_59.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_59.step,
60,False,stl\prop_60.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_60.step,
61,False,stl\prop_61.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_61.step,
62,False,stl\prop_62.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_62.step,
63,False,stl\prop_63.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_63.step,
64,False,stl\prop_64.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_64.step,
65,False,stl\prop_65.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_65.step,
66,False,stl\prop_66.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_66.step,
67,False,stl\prop_67.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_67.step,
68,False,stl\prop_68.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_68.step,
69,False,stl\prop_69.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_69.step,
70,False,stl\prop_70.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_70.step,
71,False,stl\prop_71.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_71.step,
72,False,stl\prop_72.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_72.step,
73,False,stl\prop_73.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_73.step,
74,False,stl\prop_74.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_74.step,
75,False,stl\prop_75.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_75.step,
76,False,stl\prop_76.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_76.step,
77,False,stl\prop_77.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_77.step,
78,False,stl\prop_78.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_78.step,
79,False,stl\prop_79.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_79.step,
80,False,stl\prop_80.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_80.step,
81,False,stl\prop_81.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_81.step,
82,False,stl\prop_82.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_82.step,
83,False,stl\prop_83.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_83.step,
84,False,stl\prop_84.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_84.step,
85,False,stl\prop_85.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_85.step,
86,False,stl\prop_86.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_86.step,
87,False,stl\prop_87.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_87.step,
88,False,stl\prop_88.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_88.step,
89,False,stl\prop_89.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_89.step,
90,False,stl\prop_90.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_90.step,
91,False,stl\prop_91.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_91.step,
92,False,stl\prop_92.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_92.step,
93,False,stl\prop_93.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_93.step,
94,False,stl\prop_94.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_94.step,
95,False,stl\prop_95.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_95.step,
96,False,stl\prop_96.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_96.step,
97,False,stl\prop_97.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_97.step,
98,False,stl\prop_98.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_98.step,
99,False,stl\prop_99.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_99.step,
100,False,stl\prop_100.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_100.step,
101,False,stl\prop_101.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_101.step,
102,False,stl\prop_102.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_102.step,
103,False,stl\prop_103.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_103.step,
104,False,stl\prop_104.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_104.step,
105,False,stl\prop_105.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_105.step,
106,False,stl\prop_106.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_106.step,
107,False,stl\prop_107.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_107.step,
108,False,stl\prop_108.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_108.step,
109,False,stl\prop_109.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_109.step,
110,False,stl\prop_110.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_110.step,
111,False,stl\prop_111.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_111.step,
112,False,stl\prop_112.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_112.step,
113,False,stl\prop_113.stl,,,,,,MeshFinal,'DataTree' object has no attribute 'append',False,step\prop_113.step,
