config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
0,4617,10000,viscous,4615,20000,viscous,4712,20000,viscous,-0.1565,3.6289,-0.1378,0.5968,0.059892,0.20856,0.20856,-0.1372,10000,-0.5,True,-0.0847,3.9028,-0.4366,0.769,0.044431,0.218037,0.218037,-0.0699,20000,-0.5,True,0.0653,4.0,-0.4253,0.8684,0.03546,0.25101,0.25101,0.106,20000,-0.5,True
1,6519,10000,inviscid,7516,15000,viscous,8514,25000,viscous,0.8782,7.2016,0.2261,2.5952,0.0088,0.02,0.02,0.8782,10000,-0.5,False,-0.2126,5.6574,-0.4113,0.8315,0.074259,0.178442,0.178442,-0.0303,15000,-0.5,True,-0.1155,6.1848,-0.3958,0.9688,0.075877,0.102049,0.102049,-0.0473,25000,-0.5,True
2,5518,10000,viscous,4516,20000,viscous,2411,40000,viscous,-0.1841,3.7318,-0.1584,0.6099,0.069906,0.187887,0.187887,-0.1701,10000,-0.5,True,-0.1307,3.6629,-0.4537,0.7217,0.048654,0.19921,0.19921,-0.1526,20000,-0.5,True,-0.0769,8.1089,-0.4415,1.0536,0.02371,0.01,0.01,-0.0249,40000,-0.5,True
3,7421,10000,inviscid,5318,10000,viscous,2213,20000,inviscid,0.9491,7.3081,0.2838,2.6876,0.0092,0.02,0.02,0.9491,10000,-0.5,False,-0.2034,3.3186,-0.393,0.569,0.068694,0.146092,0.146092,-0.3505,10000,-0.5,True,0.2262,6.9417,-0.3646,1.9225,0.008,0.02,0.02,0.2262,20000,-0.5,False
4,8418,10000,inviscid,7418,15000,inviscid,3517,30000,viscous,1.0609,7.1373,0.4031,2.7498,0.0086,0.02,0.02,1.0609,10000,-0.5,False,0.9305,7.1495,0.2796,2.6312,0.0086,0.02,0.02,0.9305,15000,-0.5,False,-0.237,4.284,-0.5403,0.6678,0.040446,0.124572,0.124572,-0.346,30000,-0.5,True
5,9220,10000,inviscid,8315,25000,inviscid,8311,30000,viscous,1.0635,7.2693,0.3944,2.7846,0.009,0.02,0.02,1.0635,10000,-0.5,False,0.967,6.9989,0.3262,2.6281,0.008,0.02,0.02,0.967,25000,-0.5,False,-0.1413,6.9095,-0.3534,0.9901,0.07958,0.071112,0.071112,-0.1683,30000,-0.5,True
6,4821,10000,inviscid,4619,20000,viscous,3417,30000,viscous,0.936,7.2888,0.2732,2.6706,0.0092,0.02,0.02,0.936,10000,-0.5,False,-0.2537,3.8167,-0.4467,0.661,0.059204,0.191905,0.191905,-0.2287,20000,-0.5,True,-0.2349,4.0764,-0.5497,0.6688,0.030954,0.085862,0.085862,-0.5766,30000,-0.5,True
7,5316,10000,viscous,5315,10000,viscous,2610,30000,viscous,-0.1436,3.4684,-0.387,0.6251,0.063596,0.159609,0.159609,-0.2628,10000,-0.5,True,-0.0996,3.403,-0.377,0.6526,0.055626,0.136148,0.136148,-0.3069,10000,-0.5,True,-0.0902,7.8347,-0.4413,0.9728,0.0239,0.01,0.01,0.0115,30000,-0.5,True
8,1518,10000,inviscid,1513,25000,viscous,1506,35000,viscous,0.1471,7.2157,-0.4617,1.9163,0.0086,0.02,0.02,0.1471,10000,-0.5,False,-0.1634,5.5163,-0.5184,0.6496,0.010009,0.035135,0.035135,-0.8234,25000,-0.5,True,0.0398,5.9528,-0.4463,0.8186,0.016923,0.149306,0.149306,0.1927,35000,-0.5,True
9,7717,10000,viscous,2315,35000,viscous,0015,35000,viscous,-0.1962,5.1564,-0.111,0.8001,0.07617,0.161286,0.161286,-0.0435,10000,-0.5,True,-0.0044,4.5647,-0.5327,0.4151,0.03681,0.177869,0.177869,-0.0103,35000,-0.5,True,-0.0795,6.7641,-0.5573,0.7116,0.033521,0.019828,0.019828,-0.1894,35000,-0.5,True
10,4820,10000,inviscid,4717,15000,viscous,3513,20000,viscous,0.9321,7.235,0.2741,2.6537,0.009,0.02,0.02,0.9321,10000,-0.5,False,-0.15,3.714,-0.1783,0.7002,0.055295,0.234639,0.234639,-0.0991,15000,-0.5,True,-0.0308,3.382,-0.4389,0.7432,0.037506,0.24027,0.24027,-0.0376,20000,-0.5,True
11,2722,10000,inviscid,2620,15000,inviscid,2415,30000,viscous,0.3886,7.4114,-0.2511,2.1899,0.0094,0.02,0.02,0.3886,10000,-0.5,False,0.3323,7.3086,-0.2954,2.112,0.009,0.02,0.02,0.3323,15000,-0.5,False,-0.1864,5.3318,-0.535,0.3232,0.032966,0.086771,0.086771,-0.3349,30000,-0.5,True
12,0023,10000,inviscid,2419,10000,inviscid,7311,20000,viscous,0.0006,7.4986,-0.6227,1.8493,0.0096,0.02,0.02,0.0006,10000,-0.5,False,0.2701,7.2607,-0.3499,2.0421,0.0088,0.02,0.02,0.2701,10000,-0.5,False,-0.0466,4.955,-0.3712,0.9243,0.07199,0.142414,0.142414,-0.0032,20000,-0.5,True
13,3324,10000,inviscid,3320,10000,inviscid,2212,25000,viscous,0.3887,7.5248,-0.2604,2.218,0.0098,0.02,0.02,0.3887,10000,-0.5,False,0.3789,7.3078,-0.2516,2.1554,0.009,0.02,0.02,0.3789,10000,-0.5,False,0.0168,3.7704,-0.4537,0.7167,0.02922,0.01,0.01,-0.0346,25000,-0.5,True
14,7816,10000,viscous,7715,20000,viscous,8414,30000,inviscid,-0.1962,4.8723,-0.1009,0.8239,0.072095,0.162235,0.162235,-0.036,10000,-0.5,True,-0.1839,6.3836,-0.3739,0.9568,0.062996,0.174415,0.174415,0.0529,20000,-0.5,True,1.0306,6.9289,0.3919,2.6702,0.008,0.02,0.02,1.0306,30000,-0.5,False
15,1323,10000,inviscid,5321,30000,viscous,8319,25000,inviscid,0.1293,7.4898,-0.5011,1.9672,0.0096,0.02,0.02,0.1293,10000,-0.5,False,-0.3111,4.6182,-0.5755,0.6134,0.068995,0.101756,0.101756,-0.5032,30000,-0.5,True,0.9959,7.2068,0.3362,2.7064,0.0088,0.02,0.02,0.9959,25000,-0.5,False
16,8515,10000,viscous,7414,15000,viscous,6314,20000,viscous,-0.3147,7.2076,-0.3701,0.8448,0.079252,0.140942,0.140942,-0.0458,10000,-0.5,True,-0.1062,4.9354,-0.4056,0.8537,0.075409,0.184922,0.184922,0.0129,15000,-0.5,True,-0.0838,3.99,-0.4187,0.8152,0.07038,0.211322,0.211322,-0.0423,20000,-0.5,True
17,5422,10000,inviscid,6420,25000,viscous,8418,35000,inviscid,0.6849,7.3882,0.0291,2.4607,0.0094,0.02,0.02,0.6849,10000,-0.5,False,-0.3199,5.1141,-0.4946,0.6979,0.079112,0.143584,0.143584,-0.2602,25000,-0.5,True,1.0609,7.1373,0.4031,2.7498,0.0086,0.02,0.02,1.0609,35000,-0.5,False
18,0023,10000,inviscid,1623,10000,inviscid,7321,20000,inviscid,0.0006,7.4986,-0.6227,1.8493,0.0096,0.02,0.02,0.0006,10000,-0.5,False,0.1693,7.4861,-0.4633,2.0036,0.0096,0.02,0.02,0.1693,10000,-0.5,False,0.8849,7.322,0.2225,2.631,0.0092,0.02,0.02,0.8849,20000,-0.5,False
19,1715,10000,inviscid,5511,20000,viscous,8409,35000,viscous,0.1881,7.0501,-0.4094,1.9137,0.008,0.02,0.02,0.1881,10000,-0.5,False,0.1082,3.8301,-0.3836,0.8976,0.04097,0.186217,0.186217,0.0734,20000,-0.5,True,-0.093,7.6421,-0.3525,1.4024,0.065352,0.08686,0.08686,0.0427,35000,-0.5,True
20,4422,10000,inviscid,2518,20000,inviscid,1616,25000,viscous,0.5488,7.4006,-0.0997,2.3368,0.0094,0.02,0.02,0.5488,10000,-0.5,False,0.2935,7.2042,-0.3233,2.05,0.0086,0.02,0.02,0.2935,20000,-0.5,False,-0.1866,3.9977,-0.365,0.3273,0.018747,0.058551,0.058551,-0.7,25000,-0.5,True
21,6321,10000,inviscid,4516,30000,viscous,1808,40000,viscous,0.7598,7.3319,0.1041,2.5167,0.0092,0.02,0.02,0.7598,10000,-0.5,False,-0.1625,4.3901,-0.4877,0.7571,0.043618,0.130803,0.130803,-0.2466,30000,-0.5,True,-0.0139,6.9443,-0.4548,0.8096,0.016141,0.118265,0.118265,0.2638,40000,-0.5,True
22,2318,10000,inviscid,6316,40000,viscous,7315,40000,inviscid,0.2495,7.2086,-0.365,2.0101,0.0086,0.02,0.02,0.2495,10000,-0.5,False,0.199,3.7036,-0.2695,0.2778,0.064417,0.297573,0.297573,0.129,40000,-0.5,True,0.8476,7.0068,0.2136,2.5186,0.008,0.02,0.02,0.8476,40000,-0.5,False
23,3520,10000,inviscid,4716,35000,viscous,4814,50000,inviscid,0.4448,7.2995,-0.189,2.2147,0.009,0.02,0.02,0.4448,10000,-0.5,False,-0.2228,7.0527,-0.5005,0.7907,0.038852,0.03242,0.03242,-0.5545,35000,-0.5,True,0.9058,6.9151,0.2759,2.5504,0.008,0.02,0.02,0.9058,50000,-0.5,False
24,8622,10000,inviscid,6617,30000,viscous,4710,35000,viscous,1.3148,7.3001,0.628,3.027,0.0094,0.02,0.02,1.3148,10000,-0.5,False,-0.1529,5.2156,-0.3358,0.8543,0.06467,0.145599,0.145599,-0.0768,30000,-0.5,True,0.0472,7.8827,-0.433,1.2645,0.02802,0.01,0.01,0.1103,35000,-0.5,True
25,0022,10000,inviscid,4618,20000,viscous,7815,25000,viscous,0.0006,7.4442,-0.6183,1.8358,0.0094,0.02,0.02,0.0006,10000,-0.5,False,-0.2256,3.9789,-0.441,0.6822,0.054593,0.196816,0.196816,-0.1975,20000,-0.5,True,-0.239,6.1517,-0.3321,1.0006,0.063497,0.160305,0.160305,0.0158,25000,-0.5,True
26,3222,10000,inviscid,2220,30000,inviscid,1218,30000,inviscid,0.3624,7.419,-0.2764,2.1673,0.0094,0.02,0.02,0.3624,10000,-0.5,False,0.2387,7.3186,-0.3842,2.0271,0.009,0.02,0.02,0.2387,30000,-0.5,False,0.118,7.2183,-0.4892,1.8897,0.0086,0.02,0.02,0.118,30000,-0.5,False
27,2522,10000,inviscid,4416,35000,viscous,6312,30000,inviscid,0.3006,7.421,-0.3345,2.1101,0.0094,0.02,0.02,0.3006,10000,-0.5,False,-0.1763,4.6787,-0.4892,0.7414,0.03695,0.083867,0.083867,-0.4601,35000,-0.5,True,0.7103,6.8579,0.0969,2.3537,0.008,0.02,0.02,0.7103,30000,-0.5,False
28,6421,10000,inviscid,3414,20000,viscous,2411,25000,inviscid,0.8152,7.3214,0.157,2.5659,0.0092,0.02,0.02,0.8152,10000,-0.5,False,-0.0852,3.2818,-0.4444,0.7065,0.039235,0.191714,0.191714,-0.1613,20000,-0.5,True,0.2544,6.8315,-0.329,1.9217,0.008,0.02,0.02,0.2544,25000,-0.5,False
29,3521,10000,inviscid,5620,30000,viscous,6719,50000,viscous,0.4475,7.3533,-0.191,2.2306,0.0092,0.02,0.02,0.4475,10000,-0.5,False,-0.3488,5.4806,-0.4966,0.7223,0.066976,0.134046,0.134046,-0.2478,30000,-0.5,True,-0.0868,6.2716,-0.4462,0.9581,0.062629,0.019452,0.019452,-0.5777,50000,-0.5,True
30,6419,10000,inviscid,6418,20000,viscous,6416,30000,viscous,0.8048,7.2149,0.1561,2.5299,0.0088,0.02,0.02,0.8048,10000,-0.5,False,-0.2352,4.4386,-0.479,0.7422,0.075268,0.192574,0.192574,-0.1491,20000,-0.5,True,-0.1323,4.8617,-0.3702,0.8326,0.067177,0.141431,0.141431,-0.1212,30000,-0.5,True
31,3722,10000,inviscid,2621,35000,inviscid,1521,30000,viscous,0.5807,7.3917,-0.069,2.3643,0.0094,0.02,0.02,0.5807,10000,-0.5,False,0.3342,7.3626,-0.2982,2.1271,0.0092,0.02,0.02,0.3342,35000,-0.5,False,-0.1163,4.6086,-0.4958,0.0896,0.06585,0.01,0.01,-0.2677,30000,-0.5,True
32,3317,10000,inviscid,4413,30000,viscous,5509,30000,viscous,0.371,7.146,-0.2457,2.108,0.0084,0.02,0.02,0.371,10000,-0.5,False,-0.0308,3.8019,-0.426,0.8072,0.030796,0.110365,0.110365,-0.2786,30000,-0.5,True,0.2177,3.63,-0.2927,1.3171,0.034845,0.215567,0.215567,0.2011,30000,-0.5,True
33,2420,10000,inviscid,2517,15000,inviscid,1610,25000,inviscid,0.2718,7.3152,-0.3528,2.0571,0.009,0.02,0.02,0.2718,10000,-0.5,False,0.2915,7.1501,-0.3206,2.0348,0.0084,0.02,0.02,0.2915,15000,-0.5,False,0.156,6.7842,-0.4174,1.8181,0.008,0.02,0.02,0.156,25000,-0.5,False
34,5815,10000,viscous,7410,30000,viscous,7308,30000,viscous,-0.1311,4.6338,-0.094,0.7428,0.056777,0.189357,0.189357,-0.0295,10000,-0.5,True,0.0157,5.6201,-0.3804,1.0216,0.054923,0.096276,0.096276,-0.0422,30000,-0.5,True,0.336,3.1228,-0.2924,1.0333,0.049455,0.212267,0.212267,0.1981,30000,-0.5,True
35,2618,10000,inviscid,3515,20000,viscous,3514,25000,viscous,0.3286,7.2005,-0.2899,2.0819,0.0086,0.02,0.02,0.3286,10000,-0.5,False,-0.1116,3.3753,-0.4568,0.6925,0.041229,0.21524,0.21524,-0.145,20000,-0.5,True,-0.073,3.4356,-0.471,0.7436,0.036808,0.215779,0.215779,-0.1067,25000,-0.5,True
36,2315,10000,inviscid,5214,25000,inviscid,6214,30000,inviscid,0.2439,7.0477,-0.3568,1.9652,0.008,0.02,0.02,0.2439,10000,-0.5,False,0.568,6.9785,-0.0467,2.2506,0.008,0.02,0.02,0.568,25000,-0.5,False,0.6808,6.9738,0.0596,2.3547,0.008,0.02,0.02,0.6808,30000,-0.5,False
37,7615,10000,viscous,4311,20000,viscous,3210,25000,viscous,-0.1295,5.5425,-0.29,0.8239,0.069495,0.154691,0.154691,-0.0094,10000,-0.5,True,0.0471,3.1986,-0.3563,0.8026,0.030994,0.152777,0.152777,-0.1646,20000,-0.5,True,0.1504,3.6908,-0.367,0.8011,0.02794,0.01,0.01,0.0572,25000,-0.5,True
38,4321,10000,inviscid,5516,20000,viscous,5613,25000,viscous,0.508,7.3521,-0.134,2.2867,0.0092,0.02,0.02,0.508,10000,-0.5,False,-0.1484,4.3184,-0.4411,0.7653,0.055019,0.197493,0.197493,-0.1069,20000,-0.5,True,0.0369,4.1806,-0.3842,0.8888,0.04234,0.217635,0.217635,0.0625,25000,-0.5,True
39,9416,10000,inviscid,8514,20000,viscous,8513,20000,viscous,1.1737,7.0212,0.5187,2.8265,0.0082,0.02,0.02,1.1737,10000,-0.5,False,-0.0953,5.7592,-0.3958,0.96,0.078928,0.146929,0.146929,0.0584,20000,-0.5,True,-0.0442,5.6688,-0.3849,0.9737,0.075657,0.149619,0.149619,0.096,20000,-0.5,True
40,3223,10000,inviscid,5320,30000,viscous,7417,30000,inviscid,0.3648,7.4733,-0.2786,2.1829,0.0096,0.02,0.02,0.3648,10000,-0.5,False,-0.2911,4.7036,-0.5301,0.6435,0.066833,0.107508,0.107508,-0.4509,30000,-0.5,True,0.9241,7.0966,0.2779,2.6122,0.0084,0.02,0.02,0.9241,30000,-0.5,False
41,7520,10000,inviscid,3511,30000,viscous,2508,25000,viscous,1.0277,7.2382,0.3635,2.7439,0.009,0.02,0.02,1.0277,10000,-0.5,False,-0.0338,5.9264,-0.4221,1.1111,0.02859,0.01,0.01,0.0198,30000,-0.5,True,-0.0198,6.9553,-0.4123,0.914,0.02327,0.01,0.01,0.0616,25000,-0.5,True
42,3721,10000,inviscid,4615,30000,viscous,5407,40000,viscous,0.5781,7.3372,-0.0669,2.3486,0.0092,0.02,0.02,0.5781,10000,-0.5,False,-0.1116,4.5745,-0.4816,0.797,0.040777,0.148565,0.148565,-0.1382,30000,-0.5,True,0.2507,5.9815,-0.3294,1.3005,0.02953,0.01,0.01,0.2866,40000,-0.5,True
43,1815,10000,inviscid,5512,10000,viscous,7310,20000,viscous,0.2328,7.0464,-0.3671,1.9544,0.008,0.02,0.02,0.2328,10000,-0.5,False,0.0522,3.8357,-0.3296,0.7599,0.051405,0.166152,0.166152,0.0105,10000,-0.5,True,-0.0073,4.9418,-0.3458,0.9501,0.068342,0.13899,0.13899,0.0188,20000,-0.5,True
44,6319,10000,inviscid,6418,10000,inviscid,9711,20000,viscous,0.7495,7.2257,0.1033,2.4809,0.0088,0.02,0.02,0.7495,10000,-0.5,False,0.7993,7.1617,0.1553,2.5117,0.0086,0.02,0.02,0.7993,10000,-0.5,False,-0.0311,7.4976,-0.3358,1.1576,0.069068,0.122181,0.122181,0.2156,20000,-0.5,True
45,5317,10000,viscous,5415,20000,viscous,4611,25000,viscous,-0.1747,3.4038,-0.3962,0.5973,0.06619,0.153154,0.153154,-0.3059,10000,-0.5,True,-0.0937,3.797,-0.4381,0.7711,0.055821,0.199107,0.199107,-0.103,20000,-0.5,True,0.0996,4.0595,-0.4118,0.9744,0.018867,0.065975,0.065975,-0.3295,25000,-0.5,True
46,1218,10000,inviscid,2415,25000,viscous,5809,55000,inviscid,0.118,7.2183,-0.4892,1.8897,0.0086,0.02,0.02,0.118,10000,-0.5,False,-0.1505,3.1382,-0.518,0.6542,0.034699,0.188265,0.188265,-0.2485,25000,-0.5,True,1.0856,6.6222,0.4691,2.6459,0.008,0.02,0.02,1.0856,55000,-0.5,False
47,7518,10000,inviscid,6417,15000,viscous,3314,25000,viscous,1.0149,7.1331,0.3603,2.7059,0.0086,0.02,0.02,1.0149,10000,-0.5,False,-0.2301,4.6747,-0.442,0.7444,0.072926,0.198256,0.198256,-0.1242,15000,-0.5,True,-0.0988,3.223,-0.4562,0.7118,0.030388,0.135467,0.135467,-0.3396,25000,-0.5,True
48,9418,10000,inviscid,7518,25000,inviscid,5617,35000,viscous,1.1903,7.1246,0.5257,2.8675,0.0086,0.02,0.02,1.1903,10000,-0.5,False,1.0149,7.1331,0.3603,2.7059,0.0086,0.02,0.02,1.0149,25000,-0.5,False,-0.1652,5.1956,-0.4919,0.8325,0.055019,0.127585,0.127585,-0.1501,35000,-0.5,True
49,7721,10000,inviscid,5515,20000,viscous,3411,25000,viscous,1.317,7.2366,0.6354,3.0134,0.0092,0.02,0.02,1.317,10000,-0.5,False,-0.0904,4.1636,-0.433,0.7913,0.052154,0.197418,0.197418,-0.0698,20000,-0.5,True,0.0316,3.3084,-0.408,0.8004,0.032007,0.229503,0.229503,0.0013,25000,-0.5,True
50,8717,10000,inviscid,7717,30000,viscous,6716,35000,viscous,1.4615,6.9983,0.7909,3.0896,0.0084,0.02,0.02,1.4615,10000,-0.5,False,-0.1853,5.8092,-0.332,0.9497,0.072221,0.11762,0.11762,-0.0713,30000,-0.5,True,-0.1016,5.5318,-0.38,0.8998,0.059476,0.116823,0.116823,-0.0566,35000,-0.5,True
51,4517,10000,viscous,6417,25000,viscous,8417,35000,inviscid,-0.1652,3.541,-0.1643,0.5809,0.059369,0.179171,0.179171,-0.2018,10000,-0.5,True,-0.1824,4.6351,-0.4288,0.7785,0.071219,0.161251,0.161251,-0.1378,25000,-0.5,True,1.0536,7.085,0.4005,2.7302,0.0084,0.02,0.02,1.0536,35000,-0.5,False
52,7519,10000,inviscid,3415,20000,viscous,1413,35000,viscous,1.0214,7.1856,0.3619,2.725,0.0088,0.02,0.02,1.0214,10000,-0.5,False,-0.1238,3.2716,-0.4615,0.6932,0.041035,0.182739,0.182739,-0.2142,20000,-0.5,True,-0.1768,7.8986,-0.5388,0.8785,0.02645,0.01,0.01,-0.0918,35000,-0.5,True
53,7721,10000,inviscid,6616,25000,viscous,6512,30000,viscous,1.317,7.2366,0.6354,3.0134,0.0092,0.02,0.02,1.317,10000,-0.5,False,-0.1213,5.01,-0.3953,0.868,0.061502,0.193131,0.193131,-0.0045,25000,-0.5,True,0.1141,3.9898,-0.3771,0.963,0.051541,0.197301,0.197301,0.1197,30000,-0.5,True
54,8519,10000,inviscid,7518,10000,inviscid,3310,20000,viscous,1.1634,7.1687,0.4967,2.8533,0.0088,0.02,0.02,1.1634,10000,-0.5,False,1.0149,7.1331,0.3603,2.7059,0.0086,0.02,0.02,1.0149,10000,-0.5,False,0.0622,3.0896,-0.3827,0.7986,0.029268,0.205442,0.205442,-0.041,20000,-0.5,True
55,4217,10000,inviscid,5416,20000,viscous,6615,25000,viscous,0.4659,7.143,-0.1562,2.1959,0.0084,0.02,0.02,0.4659,10000,-0.5,False,-0.1466,3.9234,-0.4538,0.7495,0.058591,0.197084,0.197084,-0.1407,20000,-0.5,True,-0.059,4.7864,-0.3674,0.8907,0.057863,0.20809,0.20809,0.0441,25000,-0.5,True
56,4621,10000,inviscid,5712,35000,viscous,5709,35000,viscous,0.6649,7.3297,0.0151,2.4276,0.0092,0.02,0.02,0.6649,10000,-0.5,False,0.0231,6.9557,-0.3958,1.4162,0.03753,0.01,0.01,0.1409,35000,-0.5,True,0.1494,7.4235,-0.4098,1.3397,0.03066,0.01,0.01,0.1639,35000,-0.5,True
57,8522,10000,inviscid,8621,25000,inviscid,7718,30000,viscous,1.1845,7.3275,0.5034,2.9121,0.0094,0.02,0.02,1.1845,10000,-0.5,False,1.3077,7.2471,0.6258,3.0073,0.0092,0.02,0.02,1.3077,25000,-0.5,False,-0.237,5.7828,-0.3308,0.9225,0.07588,0.108221,0.108221,-0.1307,30000,-0.5,True
58,6624,10000,inviscid,4423,30000,viscous,3223,20000,inviscid,1.0055,7.4513,0.3249,2.7756,0.0098,0.02,0.02,1.0055,10000,-0.5,False,-0.4686,5.1751,-0.6329,0.5432,0.066828,0.105079,0.105079,-0.5461,30000,-0.5,True,0.3648,7.4733,-0.2786,2.1829,0.0096,0.02,0.02,0.3648,20000,-0.5,False
59,1323,10000,inviscid,1419,25000,inviscid,1516,25000,inviscid,0.1293,7.4898,-0.5011,1.9672,0.0096,0.02,0.02,0.1293,10000,-0.5,False,0.1354,7.2707,-0.4773,1.919,0.0088,0.02,0.02,0.1354,25000,-0.5,False,0.1452,7.1077,-0.4545,1.8878,0.0082,0.02,0.02,0.1452,25000,-0.5,False
60,8422,10000,inviscid,6419,10000,inviscid,1408,25000,viscous,1.0888,7.3475,0.4118,2.8278,0.0094,0.02,0.02,1.0888,10000,-0.5,False,0.8048,7.2149,0.1561,2.5299,0.0088,0.02,0.02,0.8048,10000,-0.5,False,-0.0461,6.6615,-0.4696,0.7893,0.023425,0.051319,0.051319,-0.0035,25000,-0.5,True
61,5319,10000,viscous,5317,10000,viscous,5411,25000,viscous,-0.2296,3.2132,-0.3602,0.5405,0.071072,0.138102,0.138102,-0.3976,10000,-0.5,True,-0.1747,3.4038,-0.3962,0.5973,0.06619,0.153154,0.153154,-0.3059,10000,-0.5,True,0.0949,3.5264,-0.381,0.8912,0.043209,0.204265,0.204265,0.0506,25000,-0.5,True
62,6423,10000,inviscid,5420,15000,viscous,4410,35000,viscous,0.8252,7.4286,0.1575,2.6017,0.0096,0.02,0.02,0.8252,10000,-0.5,False,-0.3358,4.2242,-0.4881,0.6114,0.072962,0.187555,0.187555,-0.2767,15000,-0.5,True,0.098,5.4035,-0.3395,1.2532,0.030773,0.077374,0.077374,-0.0383,35000,-0.5,True
63,9418,10000,inviscid,8417,25000,inviscid,7516,45000,viscous,1.1903,7.1246,0.5257,2.8675,0.0086,0.02,0.02,1.1903,10000,-0.5,False,1.0536,7.085,0.4005,2.7302,0.0084,0.02,0.02,1.0536,25000,-0.5,False,0.0365,4.7236,-0.4559,0.9056,0.070815,0.115929,0.115929,-0.0225,45000,-0.5,True
64,8620,10000,inviscid,7519,25000,inviscid,7418,30000,inviscid,1.3004,7.1947,0.6232,2.9876,0.009,0.02,0.02,1.3004,10000,-0.5,False,1.0214,7.1856,0.3619,2.725,0.0088,0.02,0.02,1.0214,25000,-0.5,False,0.9305,7.1495,0.2796,2.6312,0.0086,0.02,0.02,0.9305,30000,-0.5,False
65,8615,10000,viscous,4514,15000,viscous,0012,20000,viscous,-0.3024,7.5063,-0.3297,0.8778,0.074028,0.133413,0.133413,-0.0317,10000,-0.5,True,-0.0448,3.6059,-0.4065,0.7408,0.045858,0.188986,0.188986,-0.0853,15000,-0.5,True,-0.1025,4.4723,-0.2385,0.6089,0.008769,0.058886,0.058886,-0.6023,20000,-0.5,True
66,8422,10000,inviscid,6618,15000,viscous,5814,25000,viscous,1.0888,7.3475,0.4118,2.8278,0.0094,0.02,0.02,1.0888,10000,-0.5,False,-0.3206,5.781,-0.4006,0.7602,0.067946,0.168071,0.168071,-0.1392,15000,-0.5,True,-0.1411,5.7994,-0.4269,0.9247,0.043982,0.171327,0.171327,-0.0023,25000,-0.5,True
67,2317,10000,inviscid,3415,15000,viscous,5610,30000,viscous,0.2477,7.155,-0.3621,1.9952,0.0084,0.02,0.02,0.2477,10000,-0.5,False,-0.1186,3.2217,-0.3868,0.6609,0.044396,0.183167,0.183167,-0.2059,15000,-0.5,True,0.1709,4.6362,-0.3322,1.341,0.005514,0.033459,0.033459,-0.7203,30000,-0.5,True
68,8321,10000,inviscid,8320,10000,inviscid,8216,25000,inviscid,1.0095,7.3111,0.3403,2.7447,0.0092,0.02,0.02,1.0095,10000,-0.5,False,1.0027,7.2592,0.3383,2.7256,0.009,0.02,0.02,1.0027,10000,-0.5,False,0.9195,7.07,0.2758,2.6012,0.0082,0.02,0.02,0.9195,25000,-0.5,False
69,7719,10000,inviscid,4614,35000,inviscid,2511,35000,viscous,1.3037,7.1311,0.6317,2.9749,0.0088,0.02,0.02,1.3037,10000,-0.5,False,0.6374,6.9548,0.0204,2.3095,0.008,0.02,0.02,0.6374,35000,-0.5,False,-0.1275,8.2001,-0.4499,1.0273,0.02441,0.01,0.01,-0.0213,35000,-0.5,True
70,8821,10000,inviscid,7717,20000,viscous,6713,20000,viscous,1.7738,7.1431,1.0721,3.4167,0.0092,0.02,0.02,1.7738,10000,-0.5,False,-0.3056,6.3899,-0.3837,0.9041,0.071043,0.165362,0.165362,-0.0344,20000,-0.5,True,-0.023,5.5648,-0.3854,0.9571,0.047223,0.184192,0.184192,0.0959,20000,-0.5,True
71,1716,10000,inviscid,5612,15000,viscous,7608,25000,viscous,0.1892,7.1038,-0.4129,1.928,0.0082,0.02,0.02,0.1892,10000,-0.5,False,0.0701,4.1633,-0.3828,0.862,0.043856,0.178127,0.178127,0.0607,15000,-0.5,True,0.3445,4.1875,-0.3929,1.4461,0.046861,0.230392,0.230392,0.4064,25000,-0.5,True
72,5423,10000,inviscid,6419,15000,viscous,7416,25000,inviscid,0.6891,7.4415,0.0285,2.4779,0.0096,0.02,0.02,0.6891,10000,-0.5,False,-0.3303,4.8735,-0.4709,0.6879,0.078608,0.194313,0.194313,-0.1913,15000,-0.5,True,0.9175,7.045,0.2761,2.5932,0.0082,0.02,0.02,0.9175,25000,-0.5,False
73,1321,10000,inviscid,2516,15000,inviscid,2712,20000,viscous,0.1277,7.3802,-0.4936,1.9387,0.0092,0.02,0.02,0.1277,10000,-0.5,False,0.2896,7.0964,-0.3179,2.0199,0.0082,0.02,0.02,0.2896,15000,-0.5,False,-0.0671,4.7259,-0.459,0.7407,0.020186,0.067043,0.067043,-0.3836,20000,-0.5,True
