config_id,naca_hub,re_hub,tier_hub,naca_mid,re_mid,tier_mid,naca_outer,re_outer,tier_outer,hub_CL0,hub_CL_a,hub_CLmin,hub_CLmax,hub_CD0,hub_CD2u,hub_CD2l,hub_CLCD0,hub_REref,hub_REexp,hub_xfoil_ok,mid_CL0,mid_CL_a,mid_CLmin,mid_CLmax,mid_CD0,mid_CD2u,mid_CD2l,mid_CLCD0,mid_REref,mid_REexp,mid_xfoil_ok,outer_CL0,outer_CL_a,outer_CLmin,outer_CLmax,outer_CD0,outer_CD2u,outer_CD2l,outer_CLCD0,outer_REref,outer_REexp,outer_xfoil_ok
4792,4522,10000,inviscid,4622,10000,inviscid,4721,20000,viscous,0.5989,7.3932,-0.0521,2.3817,0.0094,0.02,0.02,0.5989,10000,-0.5,False,0.6684,7.3837,0.014,2.4443,0.0094,0.02,0.02,0.6684,10000,-0.5,False,-0.2955,3.3882,-0.383,0.6303,0.072429,0.222805,0.222805,-0.2133,20000,-0.5,True
4793,2624,10000,inviscid,3421,30000,viscous,3219,35000,inviscid,0.3393,7.5261,-0.3069,2.1722,0.0098,0.02,0.02,0.3393,10000,-0.5,False,-0.4001,4.5888,-0.6299,0.5489,0.055895,0.120528,0.120528,-0.4796,30000,-0.5,True,0.355,7.257,-0.2699,2.1205,0.0088,0.02,0.02,0.355,35000,-0.5,False
4794,0012,10000,inviscid,2311,20000,inviscid,2211,20000,inviscid,0.0006,6.9027,-0.5732,1.7023,0.008,0.02,0.02,0.0006,10000,-0.5,False,0.2361,6.8326,-0.3463,1.9048,0.008,0.02,0.02,0.2361,20000,-0.5,False,0.2223,6.8358,-0.3595,1.8927,0.008,0.02,0.02,0.2223,20000,-0.5,False
4795,7817,10000,viscous,4413,15000,viscous,3311,25000,viscous,-0.1965,4.2469,-0.1045,0.7958,0.076784,0.165399,0.165399,-0.0627,10000,-0.5,True,-0.0185,3.4175,-0.3911,0.7508,0.043658,0.170663,0.170663,-0.1161,15000,-0.5,True,0.0457,3.2561,-0.3971,0.7862,0.032354,0.210212,0.210212,-0.0288,25000,-0.5,True
4796,4517,10000,viscous,5514,15000,viscous,8407,35000,viscous,-0.1652,3.541,-0.1643,0.5809,0.059369,0.179171,0.179171,-0.2018,10000,-0.5,True,-0.0529,4.1675,-0.4008,0.7966,0.050188,0.169277,0.169277,-0.0761,15000,-0.5,True,0.0165,7.0345,-0.3181,1.4759,0.058513,0.098996,0.098996,0.1369,35000,-0.5,True
4797,0021,10000,inviscid,4611,30000,viscous,5607,40000,viscous,0.0007,7.3892,-0.6136,1.8224,0.0092,0.02,0.02,0.0007,10000,-0.5,False,0.0522,5.539,-0.4358,1.2341,0.03137,0.01,0.01,0.0708,30000,-0.5,True,0.2136,7.1704,-0.4076,1.2739,0.02789,0.01,0.01,0.2925,40000,-0.5,True
4798,8723,10000,inviscid,7521,20000,inviscid,7521,20000,inviscid,1.5072,7.3132,0.8076,3.2098,0.0096,0.02,0.02,1.5072,10000,-0.5,False,1.0339,7.2919,0.3649,2.7628,0.0092,0.02,0.02,1.0339,20000,-0.5,False,1.0339,7.2919,0.3649,2.7628,0.0092,0.02,0.02,1.0339,20000,-0.5,False
4799,4619,10000,viscous,5619,10000,viscous,6619,25000,viscous,-0.1888,3.0815,-0.1445,0.5423,0.068389,0.21707,0.21707,-0.1849,10000,-0.5,True,-0.1914,3.5405,-0.1469,0.603,0.073967,0.20604,0.20604,-0.1441,10000,-0.5,True,-0.3059,5.5292,-0.4575,0.7841,0.072448,0.156363,0.156363,-0.1415,25000,-0.5,True
4800,2615,10000,inviscid,3614,20000,viscous,5713,20000,viscous,0.3225,7.0387,-0.2821,2.0363,0.008,0.02,0.02,0.3225,10000,-0.5,False,-0.061,3.4902,-0.4399,0.7332,0.038248,0.254726,0.254726,-0.051,20000,-0.5,True,-0.0051,4.8836,-0.4038,0.9053,0.040301,0.182753,0.182753,0.0375,20000,-0.5,True
4801,2322,10000,inviscid,3321,10000,inviscid,7417,20000,inviscid,0.2564,7.4253,-0.3765,2.07,0.0094,0.02,0.02,0.2564,10000,-0.5,False,0.3813,7.3619,-0.2537,2.1709,0.0092,0.02,0.02,0.3813,10000,-0.5,False,0.9241,7.0966,0.2779,2.6122,0.0084,0.02,0.02,0.9241,20000,-0.5,False
4802,1218,10000,inviscid,2315,20000,inviscid,4411,35000,viscous,0.118,7.2183,-0.4892,1.8897,0.0086,0.02,0.02,0.118,10000,-0.5,False,0.2439,7.0477,-0.3568,1.9652,0.008,0.02,0.02,0.2439,20000,-0.5,False,0.0602,5.5417,-0.3605,0.5982,0.032744,0.085211,0.085211,-0.0672,35000,-0.5,True
4803,8622,10000,inviscid,7521,20000,inviscid,5317,30000,viscous,1.3148,7.3001,0.628,3.027,0.0094,0.02,0.02,1.3148,10000,-0.5,False,1.0339,7.2919,0.3649,2.7628,0.0092,0.02,0.02,1.0339,20000,-0.5,False,-0.2067,4.7715,-0.4603,0.7294,0.060837,0.12107,0.12107,-0.3078,30000,-0.5,True
4804,2314,10000,inviscid,4313,25000,viscous,6211,25000,inviscid,0.242,6.9935,-0.3542,1.9501,0.008,0.02,0.02,0.242,10000,-0.5,False,-0.0345,3.3419,-0.393,0.7848,0.032391,0.13111,0.13111,-0.2938,25000,-0.5,True,0.6635,6.8201,0.056,2.3005,0.008,0.02,0.02,0.6635,25000,-0.5,False
4805,3522,10000,inviscid,4622,15000,inviscid,7721,30000,inviscid,0.4501,7.4079,-0.193,2.2464,0.0094,0.02,0.02,0.4501,10000,-0.5,False,0.6684,7.3837,0.014,2.4443,0.0094,0.02,0.02,0.6684,15000,-0.5,False,1.317,7.2366,0.6354,3.0134,0.0092,0.02,0.02,1.317,30000,-0.5,False
4806,7323,10000,inviscid,6423,20000,inviscid,5622,30000,viscous,0.8964,7.4281,0.2244,2.6681,0.0096,0.02,0.02,0.8964,10000,-0.5,False,0.8252,7.4286,0.1575,2.6017,0.0096,0.02,0.02,0.8252,20000,-0.5,False,-0.4452,5.5936,-0.5197,0.6714,0.074728,0.113325,0.113325,-0.3469,30000,-0.5,True
4807,1521,10000,inviscid,1520,10000,inviscid,2516,20000,inviscid,0.1498,7.3785,-0.4726,1.9589,0.0092,0.02,0.02,0.1498,10000,-0.5,False,0.149,7.3244,-0.4689,1.9447,0.009,0.02,0.02,0.149,10000,-0.5,False,0.2896,7.0964,-0.3179,2.0199,0.0082,0.02,0.02,0.2896,20000,-0.5,False
4808,1522,10000,inviscid,1521,10000,inviscid,1516,25000,inviscid,0.1507,7.4328,-0.4763,1.9731,0.0094,0.02,0.02,0.1507,10000,-0.5,False,0.1498,7.3785,-0.4726,1.9589,0.0092,0.02,0.02,0.1498,10000,-0.5,False,0.1452,7.1077,-0.4545,1.8878,0.0082,0.02,0.02,0.1452,25000,-0.5,False
4809,5822,10000,inviscid,6720,10000,inviscid,7414,20000,viscous,1.1617,7.3083,0.4835,2.8861,0.0094,0.02,0.02,1.1617,10000,-0.5,False,1.1316,7.2111,0.4633,2.834,0.009,0.02,0.02,1.1316,10000,-0.5,False,-0.0742,4.682,-0.4032,0.8787,0.074871,0.189745,0.189745,0.028,20000,-0.5,True
4810,3321,10000,inviscid,2417,25000,viscous,2514,25000,viscous,0.3813,7.3619,-0.2537,2.1709,0.0092,0.02,0.02,0.3813,10000,-0.5,False,-0.2143,3.0738,-0.5308,0.6062,0.034788,0.138823,0.138823,-0.4245,25000,-0.5,True,-0.1063,3.2507,-0.4999,0.6815,0.033141,0.222515,0.222515,-0.1486,25000,-0.5,True
4811,7724,10000,inviscid,3622,30000,viscous,1620,35000,viscous,1.3355,7.3962,0.6394,3.0701,0.0098,0.02,0.02,1.3355,10000,-0.5,False,-0.4922,5.2888,-0.5557,0.5502,0.062774,0.124353,0.124353,-0.4318,30000,-0.5,True,-0.0726,3.4396,-0.575,0.2285,0.051858,0.092585,0.092585,-0.2367,35000,-0.5,True
