"config_id","naca_hub","naca_inner","naca_mid","naca_outer"
3122,"3319","3319","1516","0015"
3123,"3624","3624","4624","7724"
3124,"3620","3620","5520","8319"
3125,"5222","5222","4422","3621"
3126,"8517","8518","4413","2409"
3127,"8422","8422","8421","7319"
3128,"8422","8422","6519","5517"
3129,"3319","3320","7612","8710"
3130,"7617","7617","5617","3717"
3131,"8623","9623","2318","0017"
3132,"7320","7321","7417","8708"
3133,"5821","5821","4819","1811"
3134,"2314","2314","3314","7313"
3135,"8617","9617","4415","1214"
3136,"5722","5722","3520","2420"
3137,"0023","0024","3815","7804"
3138,"7823","7823","3720","2719"
3139,"2820","2821","6414","8209"
3140,"2717","2717","4615","9411"
3141,"5416","5417","7512","8609"
3142,"0023","0023","4223","8322"
3143,"2322","2322","3419","6611"
3144,"7422","7422","8221","8221"
3145,"8322","8322","5318","2214"
3146,"1318","1318","2516","3812"
3147,"6623","6624","7619","7616"
3148,"9322","9322","5520","3718"
3149,"2220","2220","3419","5618"
3150,"8523","8523","5319","4318"
3151,"5522","5522","5520","6616"
3152,"1515","1516","3610","5706"
3153,"6719","6719","3818","2818"
3154,"7421","7421","7419","8514"
3155,"3717","3718","4811","4807"
3156,"3319","3319","5316","8412"
3157,"5517","5517","4513","3608"
3158,"4518","4519","2511","1506"
3159,"2315","2315","3313","5211"
3160,"3723","3723","5720","8717"
3161,"4421","4421","3417","2415"
3162,"2315","2315","5514","9713"
3163,"6313","6313","7211","7211"
3164,"6619","6620","7516","8307"
3165,"1623","1623","1722","2819"
3166,"8820","8820","8717","7410"
3167,"6222","6222","5518","4814"
3168,"1522","1523","2416","2411"
3169,"7421","7421","6419","3511"
3170,"8617","8617","7515","5312"
3171,"1322","1322","2520","2520"
3172,"3719","3719","5619","7518"
3173,"6622","6622","6621","5720"
3174,"5319","5320","3315","2311"
3175,"5319","5320","7612","7710"
3176,"4723","4723","5720","6718"
3177,"3712","3712","4511","5411"
3178,"1724","1724","1723","3418"
3179,"9419","9419","6318","4317"
3180,"5317","5317","5316","3212"
3181,"8716","8717","6613","5510"
3182,"7621","7621","8619","9514"
3183,"9324","9324","6422","2619"
3184,"3522","3523","5420","9312"
3185,"8822","8823","7719","5309"
3186,"4317","4317","8612","9711"
3187,"8524","8524","6423","4221"
3188,"2822","2822","2721","4416"
3189,"5814","5814","6613","7411"
3190,"6421","6421","5520","4718"
3191,"3714","3714","3612","3308"
3192,"9220","9220","6215","2210"
3193,"0022","0022","2220","5217"
3194,"6721","6722","4616","3612"
3195,"3714","3714","7512","9310"
3196,"8516","8516","6516","3615"
3197,"6511","6511","6511","6410"
3198,"8620","8620","7519","5318"
3199,"6223","6224","7417","7512"
3200,"9619","9619","4316","2215"
3201,"1620","1620","2619","4615"
3202,"2319","2319","4518","7816"
3203,"4822","4823","5416","5212"
3204,"2820","2820","2719","4213"
3205,"4621","4621","5621","6721"
3206,"4723","4724","5818","5814"
3207,"3312","3312","3312","4610"
3208,"4517","4517","3514","1610"
3209,"1420","1421","0016","0012"
3210,"5612","5612","6712","6712"
3211,"3723","3723","4519","6315"
3212,"5223","5223","4420","3714"
3213,"5624","5624","7521","8519"
3214,"7420","7421","6418","4310"
3215,"5318","5318","5317","6416"
3216,"9624","9624","7521","1213"
3217,"7620","8621","3715","0011"
3218,"1424","1424","4422","7420"
3219,"7819","7820","5815","2710"
3220,"6214","6214","6312","7407"
3221,"8722","9723","5519","0014"
3222,"3822","3822","3821","2719"
3223,"2619","2620","5515","8410"
3224,"5513","5513","6512","7511"
3225,"2620","2620","1520","1420"
3226,"6322","6322","5419","3615"
3227,"8622","8622","7621","6619"
3228,"8621","8621","7521","1218"
3229,"0024","0024","1722","2719"
3230,"4217","4217","3314","0006"
3231,"1322","1322","1421","2620"
3232,"7518","7518","5417","3417"
3233,"6423","6424","4420","1314"
3234,"4519","4520","5512","5509"
3235,"8820","8820","6819","3817"
3236,"1420","1421","1415","1412"
3237,"3521","3521","3520","2317"
3238,"7424","7424","7422","8319"
3239,"2722","2723","5615","9405"
3240,"4819","4820","6613","7409"
3241,"8814","8814","8713","6308"
3242,"4521","4522","6615","8806"
3243,"6317","6317","6317","4315"
3244,"0019","0020","2416","3313"
3245,"3814","3814","3612","3512"
3246,"1518","1518","3716","5815"
3247,"1220","1220","0018","0016"
3248,"4423","4424","3218","3216"
3249,"4822","4822","4721","4721"
3250,"9418","9418","9518","8617"
3251,"4718","4719","4714","4808"
3252,"3522","3522","4622","6822"
3253,"6617","6617","5615","5613"
3254,"4520","4520","5415","6412"
3255,"0022","0023","0018","0007"
3256,"3322","3322","3521","4719"
3257,"8714","8714","8412","8312"
3258,"6822","6822","5821","1715"
3259,"3318","3318","4416","8711"
3260,"4321","4321","4421","7721"
3261,"4517","4518","4513","4407"
3262,"4321","4321","3320","2218"
3263,"6320","6320","4319","1417"
3264,"8616","8617","5311","4209"
3265,"2221","2221","4420","4520"
3266,"1619","1619","1618","1513"
3267,"4418","4418","5418","8417"
3268,"2422","2423","3319","6209"
3269,"6316","6316","5415","5415"
3270,"8422","8423","8517","8710"
3271,"5222","5222","5320","5711"
3272,"4412","4412","3508","3505"
3273,"7621","7621","6519","5317"
3274,"7410","7410","7510","7510"
3275,"5623","5623","6622","7622"
3276,"3319","3320","4315","6409"
3277,"3416","3416","3514","3613"
3278,"0020","0021","2410","2306"
3279,"0022","0023","3618","7512"
3280,"4417","4417","5514","6710"
3281,"3720","3720","2619","1516"
3282,"7620","7620","6618","6616"
3283,"1721","1722","0013","0010"
3284,"6420","6420","6518","7713"
3285,"5417","5417","5415","5512"
3286,"6522","6522","6521","5619"
3287,"0023","0023","3420","7617"
3288,"8315","8315","8415","5712"
3289,"5718","5718","7616","9614"
3290,"4323","4323","4422","3718"
3291,"3220","3221","5318","9409"
3292,"7321","7321","5220","4220"
3293,"6220","6220","6219","6318"
3294,"4523","4523","5522","6518"
3295,"8720","8720","7516","7415"
3296,"7421","7421","6519","5614"
3297,"7420","7420","7416","6512"
3298,"0018","0018","5816","8815"
3299,"4620","4621","4513","4404"
3300,"3524","3524","5319","6318"
3301,"3418","3418","3417","3214"
3302,"5714","5714","3713","0011"
3303,"7817","7817","4715","1513"
3304,"8521","8521","8419","8316"
3305,"8324","8324","7322","0011"
3306,"9722","9722","8619","6415"
3307,"8520","8521","5713","4711"
3308,"5719","5719","7717","8717"
3309,"4421","4421","5518","7611"
3310,"3719","3720","5314","6212"
3311,"1521","1522","4515","7407"
3312,"6620","6620","8618","9618"
3313,"5818","5818","5615","5513"
3314,"2421","2421","3419","4416"
3315,"3719","3719","3618","1213"
3316,"6221","6222","3516","0008"
3317,"6418","6418","7314","8312"
3318,"1317","1318","3514","5709"
3319,"2719","2719","3719","4619"
3320,"3523","3523","1319","1318"
3321,"1717","1717","3717","7817"
3322,"0016","0016","2715","7511"
3323,"9520","9520","9517","9511"
3324,"2719","2720","4309","4206"
3325,"6721","6721","2719","1719"
3326,"9718","9719","6714","2708"
3327,"5321","5321","5420","4717"
3328,"2722","2723","4512","4509"
