config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,frontal_area_m2,T_static_N,Pshaft_ref_W,Q_ref_Nm,T_over_W_static,h_max_m,flight_time_s,hover_time_s,v_max_up_m_s,v_impact_m_s,rpm_impact,spin_stop_time_s
228,False,False,4000.0,0.019858,5.2e-05,0.001119,,,,,,,,,,,
229,True,False,4000.0,0.013618,2.3e-05,0.00061,0.09522,0.580985,0.001387,0.712746,0.0,0.0,0.0,0.0,0.0,4000.0,
230,True,True,4000.0,0.005244,1.1e-05,0.000597,0.17,1.198832,0.002862,3.304732,13.294015,5.220842,1.359685,7.565471,-9.031302,970.455453,
231,True,True,4000.0,0.026428,0.000103,0.002199,0.794,5.839174,0.01394,3.062629,26.100274,8.032245,2.306421,9.96283,-10.688268,1108.811267,
232,True,True,4000.0,0.009811,2.7e-05,0.001081,0.2786,1.518855,0.003626,2.894571,21.15866,7.511315,2.219537,8.624122,-9.204363,1188.251049,
233,False,False,4000.0,0.014639,4.2e-05,0.001106,,,,,,,,,,,
234,True,True,4000.0,0.009262,2e-05,0.000635,0.1497,0.432702,0.001033,1.647602,14.058702,7.364194,2.262123,4.868577,-8.675985,2082.067155,
235,True,True,4000.0,0.011241,3.2e-05,0.001081,0.4102,2.647315,0.00632,3.719964,23.114841,7.10967,1.934685,10.384264,-10.268594,910.493035,
236,True,False,4000.0,0.007624,2e-05,0.001345,0.0,0.649681,0.001551,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
237,True,True,4000.0,0.011724,2.5e-05,0.001018,0.5089,2.632655,0.006285,4.424901,25.154633,7.02967,1.81903,11.78997,-11.034411,761.55841,
238,False,False,4000.0,0.010868,2.4e-05,0.000666,,,,,,,,,,,
239,True,False,4000.0,0.01227,3.5e-05,0.001156,0.01489,1.125947,0.002688,0.123706,0.0,0.0,0.0,0.0,0.0,4000.0,
240,True,False,4000.0,0.013811,3.5e-05,0.000685,0.0,1.391097,0.003321,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
241,True,False,4000.0,0.011766,3.8e-05,0.001477,0.02962,0.81095,0.001936,0.256622,0.0,0.0,0.0,0.0,0.0,4000.0,
242,True,False,4000.0,0.011091,3.5e-05,0.001194,0.06586,1.304389,0.003114,0.605334,0.0,0.0,0.0,0.0,0.0,4000.0,
243,True,True,4000.0,0.009209,2e-05,0.000635,0.2874,1.320726,0.003153,3.181239,25.433556,7.495375,2.039643,10.191086,-11.689847,1032.301888,
244,True,False,4000.0,0.009354,3e-05,0.001068,0.07088,0.637953,0.001523,0.772428,0.0,0.0,0.0,0.0,0.0,4000.0,
245,True,False,4000.0,0.013554,4.5e-05,0.001156,0.04046,1.531841,0.003657,0.304298,0.0,0.0,0.0,0.0,0.0,4000.0,
246,True,True,4000.0,0.006157,1.8e-05,0.000679,0.2496,1.20679,0.002881,4.132398,32.151471,9.190069,2.715596,12.310854,-9.72984,891.882883,
247,True,True,4000.0,0.02254,5.1e-05,0.00142,0.2416,1.202183,0.00287,1.092653,0.068804,1.045783,0.336955,0.149713,-0.429498,3507.384384,
248,True,True,4000.0,0.016583,7.7e-05,0.002174,0.254,1.460212,0.003486,1.561383,10.644284,7.091019,2.308428,3.890763,-6.397627,2266.536283,
249,True,True,4000.0,0.015303,3.3e-05,0.000654,0.3891,1.669233,0.003985,2.591883,26.56914,7.791029,2.094083,9.455846,-13.516982,1228.570237,
250,True,True,4000.0,0.008223,2.2e-05,0.001068,0.2848,0.994419,0.002374,3.530382,34.137049,10.726485,3.438206,11.191353,-8.708575,1072.719823,
251,True,False,4000.0,0.016504,3e-05,0.000629,0.06724,0.331752,0.000792,0.415314,0.0,0.0,0.0,0.0,0.0,4000.0,
252,True,False,4000.0,0.017606,3.8e-05,0.001081,0.02375,0.472914,0.001129,0.137513,0.0,0.0,0.0,0.0,0.0,4000.0,
253,True,True,4000.0,0.007441,1.9e-05,0.001006,0.2808,1.167416,0.002787,3.847028,27.554952,8.831669,2.683412,10.890143,-8.694218,962.731998,
254,True,False,4000.0,0.021769,7.2e-05,0.001973,0.01579,0.845298,0.002018,0.073941,0.0,0.0,0.0,0.0,0.0,4000.0,
255,True,False,4000.0,0.011682,5.1e-05,0.001628,0.104,1.473616,0.003518,0.907538,0.0,0.0,0.0,0.0,0.0,4000.0,
256,True,False,4000.0,0.00787,2.2e-05,0.000691,0.03515,1.18082,0.002819,0.455301,0.0,0.0,0.0,0.0,0.0,4000.0,
257,True,False,4000.0,0.014346,2.9e-05,0.000635,0.08407,1.014944,0.002423,0.597359,0.0,0.0,0.0,0.0,0.0,4000.0,
258,True,True,4000.0,0.01495,5.1e-05,0.001665,1.14,8.494867,0.02028,7.773076,30.226853,7.565237,1.894467,16.076866,-10.24614,492.101864,
259,True,False,4000.0,0.024753,8.7e-05,0.002099,0.09272,1.563257,0.003732,0.381832,0.0,0.0,0.0,0.0,0.0,4000.0,
260,True,True,4000.0,0.004571,1.4e-05,0.000691,0.2765,1.417905,0.003385,6.16573,30.412471,8.79519,2.525497,14.019669,-8.595488,649.396775,
261,True,True,4000.0,0.017503,5.1e-05,0.001847,0.4594,2.358289,0.00563,2.675569,21.993435,7.906461,2.389098,8.380957,-9.241355,1289.94334,
262,True,False,4000.0,0.013317,2.2e-05,0.000597,0.08607,0.888024,0.00212,0.658854,0.0,0.0,0.0,0.0,0.0,4000.0,
263,True,True,4000.0,0.007575,1.3e-05,0.000603,0.1165,0.56046,0.001338,1.567834,3.47246,3.553075,1.02618,2.368269,-5.286196,2140.599941,
264,True,True,4000.0,0.00814,3.1e-05,0.001194,0.08322,0.834826,0.001993,1.042197,0.005006,0.410416,0.134293,0.027587,-0.081068,3760.752088,
265,True,True,4000.0,0.00505,1.1e-05,0.000622,0.1003,0.727174,0.001736,2.024618,5.977789,4.021825,1.121277,3.853707,-6.739654,1593.071286,
266,False,False,4000.0,0.013617,3.7e-05,0.001106,,,,,,,,,,,
267,True,True,4000.0,0.006052,2e-05,0.001156,0.1552,0.348088,0.000831,2.614084,40.107978,16.252855,6.050729,8.634632,-6.619537,1507.529091,
268,True,False,4000.0,0.006077,2.1e-05,0.001181,0.0,1.101233,0.002629,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,
269,True,True,4000.0,0.016185,5.7e-05,0.001219,0.2664,2.14131,0.005112,1.677889,6.612245,4.718268,1.370582,3.478452,-7.033071,1984.045969,
270,True,True,4000.0,0.011602,3.3e-05,0.001439,0.2466,1.794478,0.004284,2.166741,10.0392,5.291516,1.528268,5.148931,-7.652556,1523.172725,
271,False,False,4000.0,0.007616,2.3e-05,0.001119,,,,,,,,,,,
272,True,False,4000.0,0.017848,3.5e-05,0.000629,0.01847,0.963422,0.0023,0.105492,0.0,0.0,0.0,0.0,0.0,4000.0,
273,True,True,4000.0,0.009892,2.5e-05,0.001068,0.1854,0.630832,0.001506,1.910536,18.122628,8.308333,2.676975,6.041264,-8.142226,1830.349021,
274,True,True,4000.0,0.015274,2.9e-05,0.001006,0.2399,1.226478,0.002928,1.601064,4.27527,3.864987,1.109813,2.688801,-5.941887,2082.578839,
