config_id,m_hub_kg,m_blades_kg,m_outer_ring_kg,m_total_kg
121,0.00063333,0.01098549,0.00758775,0.01920657
122,0.00063333,0.00947811,0.00241707,0.01252851
123,0.00063333,0.00903149,0.00764129,0.01730611
124,0.00063333,0.00290825,0.00489532,0.0084369
125,0.00063333,0.0026951,0.00722825,0.01055668
126,0.00063333,0.00618705,0.00373268,0.01055306
127,0.00063333,0.00730687,0.00165217,0.00959237
128,0.00063333,0.00662179,0.00167512,0.00893024
129,0.00063333,0.00407903,0.00610386,0.01081622
130,0.00063333,0.0053191,0.00573671,0.01168914
131,0.00063333,0.00423249,0.0029066,0.00777242
132,0.00063333,0.01562797,0.00774456,0.02400586
133,0.00063333,0.00496787,0.00536956,0.01097076
134,0.00063333,0.00537459,0.00385507,0.00986299
135,0.00063333,0.00598987,0.00144565,0.00806885
136,0.00063333,0.01665316,0.01032607,0.02761256
137,0.00063333,0.00439518,0.01223831,0.01726682
138,0.00063333,0.00515826,0.0025624,0.00835399
139,0.00063333,0.00658883,0.00331964,0.0105418
140,0.00063333,0.00512182,0.00512479,0.01087994
141,0.00063333,0.00532765,0.00853622,0.0144972
142,0.00063333,0.00354908,0.00406924,0.00825165
143,0.00063333,0.01226051,0.00151067,0.01440451
144,0.00063333,0.00176812,0.00642511,0.00882656
145,0.00063333,0.00426766,0.00117794,0.00607893
146,0.00063333,0.02690117,0.01060144,0.03813594
147,0.00063333,0.00948661,0.01073912,0.02085906
148,0.00063333,0.00880113,0.0063448,0.01577926
149,0.00063333,0.0166998,0.00536956,0.02270269
150,0.00063333,0.00301095,0.00948469,0.01312897
151,0.00063333,0.01147334,0.0054384,0.01754507
152,0.00063333,0.00750751,0.00339613,0.01153697
153,0.00063333,0.00487425,0.0021723,0.00767988
154,0.00063333,0.01151028,0.00481883,0.01696244
155,0.00063333,0.00770763,0.00536956,0.01371052
156,0.00063333,0.00229776,0.00302898,0.00596007
157,0.00063333,0.00753378,0.00271537,0.01088248
158,0.00063333,0.00557294,0.00116264,0.00736891
159,0.00063333,0.00396098,0.00530072,0.00989503
160,0.00063333,0.00977071,0.0036256,0.01402964
161,0.00063333,0.00715207,0.00116646,0.00895186
162,0.00063333,0.00685838,0.00171336,0.00920507
163,0.00063333,0.00288346,0.00139593,0.00491272
164,0.00063333,0.00694951,0.00294484,0.01052768
165,0.00063333,0.01056766,0.00241707,0.01361806
166,0.00063333,0.00875874,0.00380152,0.01319359
167,0.00063333,0.01823712,0.00385507,0.02272552
168,0.00063333,0.00584722,0.00391626,0.01039681
169,0.00063333,0.00409935,0.0036409,0.00837358
170,0.00063333,0.01363825,0.00192753,0.01619911
171,0.00063333,0.01210728,0.00124295,0.01398356
172,0.00063333,0.00336866,0.00454347,0.00854546
173,0.00063333,0.01137529,0.00275362,0.01476224
174,0.00063333,0.0184624,0.00587439,0.02497012
175,0.00063333,0.00546464,0.00190076,0.00799873
176,0.00063333,0.00412658,0.00114734,0.00590725
177,0.00063333,0.00765728,0.00241707,0.01070768
178,0.00063333,0.00428048,0.00118559,0.0060994
179,0.00063333,0.01274945,0.00335024,0.01673302
180,0.00063333,0.00659251,0.00298309,0.01020893
181,0.00063333,0.00335962,0.00316666,0.00715961
182,0.00063333,0.01128592,0.00331964,0.01523889
183,0.00063333,0.00384401,0.01223831,0.01671565
184,0.00063333,0.01159125,0.00339613,0.01562071
185,0.00063333,0.0029986,0.00093317,0.0045651
186,0.00063333,0.00276338,0.00385507,0.00725178
187,0.00063333,0.00513845,0.00922463,0.01499641
188,0.00063333,0.01490274,0.0054384,0.02097447
189,0.00063333,0.00353368,0.00805434,0.01222135
190,0.00063333,0.01412352,0.00819967,0.02295652
191,0.00063333,0.01094667,0.00107085,0.01265085
192,0.00063333,0.01429918,0.00474999,0.0196825
193,0.00063333,0.00257072,0.01005071,0.01325476
194,0.00063333,0.00763625,0.00348027,0.01174985
195,0.00063333,0.00438196,0.00626448,0.01127977
196,0.00063333,0.01317889,0.00316666,0.01697888
197,0.00063333,0.00482887,0.0014533,0.0069155
198,0.00063333,0.00247451,0.00474999,0.00785783
199,0.00063333,0.00550794,0.00184722,0.00798849
200,0.00063333,0.01475222,0.00223349,0.01761904
201,0.00063333,0.00330076,0.00305958,0.00699367
202,0.00063333,0.00372342,0.00186634,0.00622309
203,0.00063333,0.00622796,0.00610386,0.01296515
204,0.00063333,0.00298837,0.00489532,0.00851702
205,0.00063333,0.00361791,0.00367149,0.00792273
206,0.00063333,0.01301895,0.00189694,0.01554922
207,0.00063333,0.00371151,0.00433695,0.00868179
208,0.00063333,0.00208349,0.00514009,0.00785691
209,0.00063333,0.00981281,0.00275362,0.01319976
210,0.00063333,0.01039022,0.00302133,0.01404488
211,0.00063333,0.00199697,0.00178985,0.00442015
212,0.00063333,0.00993611,0.00930112,0.01987056
213,0.00063333,0.00801462,0.0032661,0.01191405
214,0.00063333,0.00366727,0.01204709,0.01634769
215,0.00063333,0.00233443,0.00642511,0.00939287
216,0.00063333,0.01256886,0.00554166,0.01874385
217,0.00063333,0.00295531,0.00168659,0.00527523
218,0.00063333,0.00992173,0.00302898,0.01358404
219,0.00063333,0.01196431,0.00294484,0.01554248
220,0.00063333,0.02036511,0.00294484,0.02394328
221,0.00063333,0.00545316,0.00688405,0.01297054
222,0.00063333,0.01219724,0.00260064,0.01543121
223,0.00063333,0.00548405,0.00252415,0.00864153
224,0.00063333,0.00718884,0.0086892,0.01651137
225,0.00063333,0.00331814,0.00688405,0.01083552
226,0.00063333,0.01372018,0.00481883,0.01917234
227,0.00063333,0.00490256,0.00283011,0.008366
228,0.00063333,0.01481899,0.00440579,0.01985811
229,0.00063333,0.01178031,0.00120471,0.01361835
230,0.00063333,0.00251081,0.00209963,0.00524377
231,0.00063333,0.01491743,0.0108768,0.02642756
232,0.00063333,0.00548356,0.00369444,0.00981133
233,0.00063333,0.0091182,0.00488767,0.0146392
234,0.00063333,0.0068349,0.00179368,0.00926191
235,0.00063333,0.00638501,0.00422222,0.01124056
236,0.00063333,0.00217207,0.00481883,0.00762423
237,0.00063333,0.00815305,0.00293719,0.01172357
238,0.00063333,0.00913313,0.00110145,0.01086791
239,0.00063333,0.00876804,0.00286835,0.01226972
240,0.00063333,0.01117029,0.00200785,0.01381147
241,0.00063333,0.00421404,0.00691847,0.01176584
242,0.00063333,0.00747424,0.00298309,0.01109066
243,0.00063333,0.00678218,0.00179368,0.00920919
244,0.00063333,0.00351938,0.00520128,0.00935399
245,0.00063333,0.00775734,0.00516304,0.01355371
246,0.00063333,0.00354265,0.00198108,0.00615706
247,0.00063333,0.01529755,0.00660869,0.02253957
248,0.00063333,0.00521025,0.01073912,0.0165827
249,0.00063333,0.01279569,0.00187399,0.01530301
250,0.00063333,0.00446926,0.00312077,0.00822336
251,0.00063333,0.01460833,0.00126208,0.01650374
252,0.00063333,0.01433336,0.00263889,0.01760558
253,0.00063333,0.003434,0.00337318,0.00744051
254,0.00063333,0.01042676,0.01070852,0.02176861
255,0.00063333,0.00330363,0.00774456,0.01168152
256,0.00063333,0.00549241,0.00174396,0.0078697
257,0.00063333,0.01166294,0.00204992,0.01434619
258,0.00063333,0.00901601,0.00530072,0.01495006
259,0.00063333,0.01379383,0.01032607,0.02475323
260,0.00063333,0.00248469,0.0014533,0.00457132
261,0.00063333,0.00792014,0.00894926,0.01750273
262,0.00063333,0.01081693,0.00186634,0.0133166
263,0.00063333,0.00575563,0.00118559,0.00757455
264,0.00063333,0.00392667,0.00357971,0.00813971
265,0.00063333,0.0029251,0.00149154,0.00504997
266,0.00063333,0.00918221,0.00380152,0.01361706
267,0.00063333,0.00312405,0.00229468,0.00605206
268,0.00063333,0.00308743,0.00235587,0.00607663
269,0.00063333,0.01065595,0.00489532,0.0161846
270,0.00063333,0.00500207,0.00596618,0.01160158
271,0.00063333,0.00422939,0.00275362,0.00761634
272,0.00063333,0.01494246,0.00227174,0.01784753
273,0.00063333,0.00613793,0.00312077,0.00989203
274,0.00063333,0.01174936,0.0028913,0.01527399
275,0.00063333,0.00451352,0.0043446,0.00949145
276,0.00063333,0.00347637,0.00390861,0.00801831
277,0.00063333,0.01413594,0.00706762,0.02183689
278,0.00063333,0.01203046,0.01046375,0.02312754
279,0.00063333,0.00296863,0.00237117,0.00597313
280,0.00063333,0.00440395,0.00116264,0.00619992
281,0.00063333,0.00764258,0.00203462,0.01031053
282,0.00063333,0.0032638,0.00966826,0.01356539
283,0.00063333,0.00338224,0.00240942,0.00642499
284,0.00063333,0.01034705,0.00832205,0.01930243
285,0.00063333,0.00783092,0.00679226,0.01525651
286,0.00063333,0.00871407,0.00391626,0.01326366
287,0.00063333,0.00378235,0.00211111,0.00652679
288,0.00063333,0.00627291,0.0032661,0.01017234
289,0.00063333,0.01170983,0.0054384,0.01778156
290,0.00063333,0.00747928,0.00569081,0.01380342
291,0.00063333,0.00429118,0.00514009,0.0100646
292,0.00063333,0.00813333,0.00141505,0.01018171
293,0.00063333,0.01095009,0.00546135,0.01704477
294,0.00063333,0.00840655,0.00458937,0.01362925
295,0.00063333,0.00463135,0.00348027,0.00874495
296,0.00063333,0.00374111,0.0043446,0.00871904
297,0.00063333,0.00330244,0.00183575,0.00577152
298,0.00063333,0.00170613,0.00172101,0.00406047
299,0.00063333,0.00516135,0.0029066,0.00870128
300,0.00063333,0.00788798,0.0036409,0.01216221
301,0.00063333,0.01202603,0.00216848,0.01482784
302,0.00063333,0.0112783,0.00554166,0.01745329
303,0.00063333,0.0162745,0.00380152,0.02070935
304,0.00063333,0.00240224,0.00294484,0.00598041
305,0.00063333,0.00464511,0.0043446,0.00962304
306,0.00063333,0.00395641,0.0043446,0.00893434
307,0.00063333,0.01029976,0.00893397,0.01986706
308,0.00063333,0.00938719,0.00596618,0.0159867
309,0.00063333,0.01510737,0.00263889,0.01837959
310,0.00063333,0.00578575,0.00502536,0.01144444
311,0.00063333,0.00929266,0.00390861,0.0138346
312,0.00063333,0.00777246,0.00198873,0.01039452
313,0.00063333,0.01772351,0.00948469,0.02784153
314,0.00063333,0.00616091,0.00602354,0.01281778
315,0.00063333,0.00189318,0.00252415,0.00505066
316,0.00063333,0.00566138,0.00614975,0.01244446
317,0.00063333,0.01040118,0.00248591,0.01352042
318,0.00063333,0.01501303,0.00699878,0.02264514
319,0.00063333,0.00290467,0.00096377,0.00450177
320,0.00063333,0.00409971,0.00530072,0.01003376
321,0.00063333,0.00249654,0.00331964,0.00644951
322,0.00063333,0.00832113,0.00602354,0.014978
323,0.00063333,0.00222819,0.00130032,0.00416184
324,0.00063333,0.00228238,0.00126208,0.00417779
325,0.00063333,0.00857792,0.0079549,0.01716615
326,0.00063333,0.01298283,0.01018839,0.02380455
327,0.00063333,0.00438673,0.00235587,0.00737593
328,0.00063333,0.00850739,0.00283011,0.01197083
329,0.00063333,0.00644042,0.00428341,0.01135716
330,0.00063333,0.019401,0.00357971,0.02361404
331,0.00063333,0.00701944,0.00385507,0.01150784
332,0.00063333,0.01428182,0.00908694,0.02400209
333,0.00063333,0.00808682,0.00380152,0.01252167
334,0.00063333,0.0042614,0.00135769,0.00625242
335,0.00063333,0.00855159,0.00536956,0.01455448
336,0.00063333,0.00925492,0.00302898,0.01291723
337,0.00063333,0.00485542,0.00126208,0.00675083
338,0.00063333,0.00259355,0.00293719,0.00616407
339,0.00063333,0.00334759,0.00305958,0.0070405
340,0.00063333,0.00446907,0.00495652,0.01005892
341,0.00063333,0.01425873,0.00428341,0.01917547
342,0.00063333,0.00794328,0.00948469,0.0180613
343,0.00063333,0.00749956,0.00428341,0.0124163
344,0.00063333,0.01583478,0.00712499,0.0235931
345,0.00063333,0.00527087,0.00337318,0.00927738
346,0.00063333,0.0114115,0.00198108,0.01402591
347,0.00063333,0.00613231,0.00461231,0.01137795
348,0.00063333,0.00587473,0.0040157,0.01052376
349,0.00063333,0.01103316,0.00206139,0.01372788
350,0.00063333,0.00657004,0.00426811,0.01147148
351,0.00063333,0.00247236,0.0036256,0.00673129
352,0.00063333,0.00647089,0.00505978,0.012164
353,0.00063333,0.0095467,0.00489915,0.01507918
354,0.00063333,0.0090611,0.00702173,0.01671616
355,0.00063333,0.00419948,0.00147242,0.00630523
356,0.00063333,0.00343015,0.00283011,0.00689359
357,0.00063333,0.00868387,0.0040157,0.0133329
