config_id,qprop_ok,V,rpm,Dbeta,T,Q,Pshaft,CT,CP,FOM,eff_aero,cl_avg,cd_avg
1549,True,0.0,4000.0,0.0,0.613,0.007099,2.974,0.06393,0.01014,0.79684,1.36462,0.4632,0.005193
1550,True,0.0,4000.0,0.0,0.6556,0.008405,3.521,0.08088,0.01481,0.77631,1.34113,0.9672,0.008631
1551,True,0.0,4000.0,0.0,0.2529,0.002244,0.9399,0.0541,0.007869,0.79957,1.36747,0.5286,0.007051
1552,True,0.0,4000.0,0.0,0.1741,0.002159,0.9043,0.01259,0.001951,0.36194,0.80634,0.1599,0.01844
1553,True,0.0,4000.0,0.0,0.5183,0.005276,2.21,0.04851,0.006585,0.81145,1.38079,0.4137,0.007398
1554,True,0.0,4000.0,0.0,0.132,0.001464,0.6132,0.01235,0.001827,0.37587,0.82637,0.1201,0.01586
1555,True,0.0,4000.0,0.0,0.03563,0.000235,0.0984,0.007142,0.000759,0.3974,0.85804,0.0784,0.006151
1556,False,,,,,,,,,,,,
1557,False,,,,,,,,,,,,
1558,True,0.0,4000.0,0.0,0.2237,0.002548,1.067,0.02922,0.004824,0.518,1.02347,0.3132,0.02863
1559,True,0.0,4000.0,0.0,0.04604,0.00177,0.7414,0.003329,0.0016,0.06003,0.24335,0.0531,0.03411
1560,True,0.0,4000.0,0.0,0.1437,0.001832,0.7673,0.01345,0.002286,0.34119,0.77507,0.1927,0.02805
1561,True,0.0,4000.0,0.0,0.01184,0.001553,0.6504,0.002374,0.00502,0.01152,0.08097,0.0174,0.05614
1562,True,0.0,4000.0,0.0,0.04533,0.001793,0.7509,0.003447,0.001726,0.05864,0.23956,0.0242,0.01455
1563,True,0.0,4000.0,0.0,0.08135,0.001666,0.698,0.01436,0.004597,0.18722,0.5194,0.1326,0.04358
1564,True,0.0,4000.0,0.0,0.2396,0.003328,1.394,0.02127,0.003887,0.39902,0.86038,0.1755,0.02426
1565,True,0.0,4000.0,0.0,0.1285,0.002419,1.013,0.01585,0.004264,0.23415,0.60277,0.0945,0.02457
1566,True,0.0,4000.0,0.0,-0.3286,0.006733,2.82,-0.02917,0.007865,,,-0.3304,0.105
1567,False,,,,,,,,,,,,
1568,True,0.0,4000.0,0.0,0.04784,0.001121,0.4697,0.00959,0.003625,0.12951,0.40639,0.1239,0.05569
1569,True,0.0,4000.0,0.0,0.0521,0.001808,0.7573,0.007658,0.003966,0.08448,0.30564,0.1002,0.0622
1570,True,0.0,4000.0,0.0,0.08327,0.001575,0.6598,0.007016,0.001723,0.17048,0.48816,0.0723,0.01912
1571,True,0.0,4000.0,0.0,0.1681,0.001299,0.544,0.02074,0.002289,0.65237,1.19411,0.2094,0.009243
1572,True,0.0,4000.0,0.0,0.1324,0.001471,0.6161,0.02832,0.005158,0.46205,0.94865,0.2122,0.02668
1573,True,0.0,4000.0,0.0,0.1321,0.000872,0.3653,0.01941,0.001913,0.70709,1.25955,0.1829,0.006098
1574,True,0.0,4000.0,0.0,0.3153,0.003087,1.293,0.02656,0.003378,0.64097,1.17975,0.3019,0.01441
1575,True,0.0,4000.0,0.0,0.2143,0.004216,1.766,0.01715,0.004325,0.25959,0.64606,0.1516,0.03148
1576,True,0.0,4000.0,0.0,0.05467,0.000701,0.2936,0.004375,0.000719,0.20119,0.54507,0.0371,0.005063
1577,True,0.0,4000.0,0.0,0.7232,0.01826,7.65,0.136,0.0545,0.45997,0.94611,1.0954,0.1484
1578,True,0.0,4000.0,0.0,0.2119,0.002609,1.093,0.02936,0.005315,0.47305,0.96402,0.1961,0.02248
1579,True,0.0,4000.0,0.0,0.1015,0.002799,1.173,0.009498,0.003494,0.13249,0.41249,0.1282,0.05283
1580,True,0.0,4000.0,0.0,0.438,0.006305,2.641,0.03331,0.006069,0.50079,1.00114,0.2181,0.02428
1581,True,0.0,4000.0,0.0,0.1653,0.002354,0.9861,0.01547,0.002938,0.32754,0.75415,0.2496,0.04334
1582,True,0.0,4000.0,0.0,0.08981,0.000965,0.4043,0.01402,0.002283,0.36356,0.80862,0.1996,0.02967
1583,True,0.0,4000.0,0.0,0.04153,0.003824,1.602,0.003003,0.003456,0.0238,0.13137,0.0304,0.0447
1584,True,0.0,4000.0,0.0,0.4496,0.004547,1.904,0.04689,0.006496,0.78179,1.34684,0.457,0.007901
1585,True,0.0,4000.0,0.0,0.37,0.003358,1.407,0.04564,0.005917,0.82367,1.39512,0.6644,0.008002
1586,True,0.0,4000.0,0.0,0.6451,0.008501,3.561,0.04906,0.008183,0.66387,1.20815,0.3159,0.01834
1587,True,0.0,4000.0,0.0,0.1397,0.001998,0.8369,0.01724,0.003521,0.32127,0.74489,0.1029,0.01801
1588,True,0.0,4000.0,0.0,0.0497,0.002929,1.227,0.006494,0.005546,0.04717,0.20726,0.0573,0.06111
1589,True,0.0,4000.0,0.0,0.6514,0.00729,3.054,0.05783,0.008516,0.81645,1.38674,0.8765,0.007138
1590,True,0.0,4000.0,0.0,0.3361,0.004293,1.798,0.02832,0.004698,0.5073,1.0096,0.2472,0.02101
1591,True,0.0,4000.0,0.0,0.1814,0.003363,1.409,0.01791,0.004489,0.26709,0.65816,0.2764,0.06597
1592,True,0.0,4000.0,0.0,0.3172,0.002727,1.142,0.04393,0.005556,0.82921,1.4004,0.5169,0.005824
1593,False,,,,,,,,,,,,
1594,True,0.0,4000.0,0.0,0.08792,0.002476,1.037,0.01552,0.006831,0.14158,0.43109,0.1242,0.05867
1595,True,0.0,4000.0,0.0,0.3452,0.004782,2.003,0.03231,0.005968,0.48664,0.98201,0.2578,0.02598
1596,True,0.0,4000.0,0.0,0.2404,0.004531,1.898,0.0333,0.009231,0.32918,0.75674,0.207,0.04898
1597,True,0.0,4000.0,0.0,0.1084,0.002736,1.146,0.0113,0.003909,0.15377,0.45537,0.1321,0.04897
1598,False,,,,,,,,,,,,
1599,True,0.0,4000.0,0.0,0.06546,0.001024,0.4291,0.014,0.003593,0.23063,0.59679,0.1597,0.03925
1600,True,0.0,4000.0,0.0,1.046,0.015,6.285,0.0881,0.01642,0.79679,1.36373,0.8731,0.006764
1601,True,0.0,4000.0,0.0,0.3656,0.003332,1.396,0.05374,0.00731,0.8519,1.42677,0.3597,0.003377
1602,True,0.0,4000.0,0.0,0.00697,0.004989,2.09,0.000504,0.00451,0.00126,0.01847,0.0048,0.06832
1603,True,0.0,4000.0,0.0,0.4204,0.005407,2.265,0.03542,0.005917,0.56335,1.08272,0.3718,0.02373
1604,True,0.0,4000.0,0.0,0.06308,0.00091,0.3811,0.01264,0.002942,0.24168,0.61563,0.1615,0.03725
1605,True,0.0,4000.0,0.0,0.4415,0.004076,1.707,0.04133,0.005087,0.82593,1.3973,0.9081,0.007998
1606,False,,,,,,,,,,,,
1607,False,,,,,,,,,,,,
1608,True,0.0,4000.0,0.0,0.1011,0.00259,1.085,0.01678,0.006611,0.1643,0.47637,0.0949,0.0384
1609,True,0.0,4000.0,0.0,0.03001,0.00136,0.5695,0.005643,0.004058,0.05223,0.2218,0.048,0.04259
1610,True,0.0,4000.0,0.0,0.3247,0.002925,1.225,0.02348,0.002644,0.68052,1.22798,0.1575,0.006406
1611,True,0.0,4000.0,0.0,0.5726,0.008007,3.354,0.04825,0.008761,0.60474,1.13535,0.3799,0.02891
1612,True,0.0,4000.0,0.0,0.2017,0.001763,0.7386,0.02488,0.003107,0.63153,1.16848,0.2451,0.01378
1613,True,0.0,4000.0,0.0,0.04454,0.001055,0.4419,0.007863,0.00291,0.1198,0.38577,0.043,0.01806
1614,True,0.0,4000.0,0.0,0.06127,0.001746,0.7314,0.009565,0.00413,0.11324,0.37158,0.1,0.04951
1615,True,0.0,4000.0,0.0,0.105,0.004887,2.047,0.007983,0.004704,0.07584,0.28435,0.0554,0.03743
1616,True,0.0,4000.0,0.0,-0.02789,0.001158,0.4849,-0.003644,0.002192,,,-0.0614,0.04697
